accBasedController [2021-03-27-21-56-05]
time[s]  vel_hum[rad/s]  vel_exo[rad/s]  acc_hum[rad/ss]  acc_exo[rad/ss]  theta_c[rad]  theta_l[rad]
1.499085  0.008  -0.004  0.013  0.077  0.000  0.003
1.502085  0.008  -0.003  0.003  0.017  0.000  0.003
1.505086  0.008  -0.003  0.003  0.017  0.000  0.003
1.509086  0.008  -0.003  0.001  0.004  0.000  0.003
1.512086  0.008  -0.003  0.001  0.004  0.000  0.003
1.516086  0.008  -0.003  0.001  0.004  0.000  0.003
1.519086  0.008  -0.003  0.000  0.001  0.000  0.003
1.523087  0.008  -0.003  0.000  0.001  0.000  0.003
1.526087  0.009  -0.003  0.076  0.085  0.000  0.003
1.529087  0.009  -0.003  0.076  0.085  0.000  0.003
1.532087  0.010  -0.006  0.132  -0.366  0.000  0.003
