SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]
-78.798     25   0.176  0.000  -0.319  7.711  1.650  0.118  0.050  -0.001
-39.150     25   0.176  0.000  -0.319  10.662  1.741  -0.411  0.064  -0.004
-36.956     25   0.176  0.000  -0.319  -2.857  -0.623  0.047  0.059  -0.003
-59.712     25   0.176  0.000  -0.319  -13.595  -3.142  -0.291  0.034  -0.006
-78.473     25   0.176  0.000  -0.319  -14.485  -2.531  0.520  0.013  -0.002
-114.333     26   0.176  0.000  -0.319  -23.692  -4.831  0.056  -0.025  -0.001
-142.880     26   0.176  0.000  -0.319  -23.620  -4.818  0.005  -0.064  -0.001
-160.691     26   0.176  0.000  -0.319  -21.262  -4.396  -0.109  -0.099  -0.002
-179.939     26   0.176  0.000  -0.319  -23.524  -4.763  -0.049  -0.137  -0.002
-197.951     25   0.176  0.000  -0.319  -24.420  -5.166  -0.328  -0.178  -0.005
-205.002     25   0.176  0.000  -0.319  -21.125  -4.275  -0.150  -0.213  -0.006
-203.197     25   0.176  0.000  -0.319  -18.236  -3.111  0.411  -0.237  -0.003
-178.149     25   0.176  0.000  -0.319  -7.811  -0.928  0.421  -0.245  0.000
-117.524     25   0.176  0.000  -0.319  10.405  2.697  0.283  -0.223  0.003
-33.791     25   0.176  0.000  -0.319  26.141  5.924  0.302  -0.176  0.005
10.985     25   0.176  0.000  -0.319  16.384  3.510  -0.075  -0.148  0.005
197.102     26   0.176  0.000  -0.319  84.523  17.071  -0.499  -0.011  0.001
277.083     25   0.176  0.000  -0.319  53.708  10.666  -0.402  0.074  -0.003
289.691     -3   0.176  0.000  -0.319  30.410  6.158  0.003  0.123  -0.003
326.779      3   0.176  0.000  -0.319  42.542  8.623  0.036  0.192  -0.002
353.840    -23   0.176  0.000  -0.319  41.525  8.171  -0.134  0.258  -0.003
372.278    -23   0.176  0.000  -0.319  40.031  7.907  -0.005  0.321  -0.003
274.115    -26   0.176  0.000  -0.319  -10.559  -2.808  -0.267  0.298  -0.006
77.272    -28   0.176  0.000  -0.319  -63.950  -13.551  -0.057  0.190  -0.006
-89.672    -24   0.176  0.000  -0.319  -68.325  -14.259  0.009  0.076  -0.006
-163.707    -24   0.176  0.000  -0.319  -41.792  -8.471  0.223  0.008  -0.004
-165.826    -25   0.176  0.000  -0.319  -15.750  -3.495  -0.259  -0.020  -0.006
-98.633     -7   0.176  0.000  -0.319  15.374  2.951  -0.235  0.004  -0.008
-5.154     -7   0.176  0.000  -0.319  33.310  6.697  -0.139  0.057  -0.009
96.292      0   0.176  0.000  -0.319  45.339  9.183  -0.053  0.131  -0.010
43.818     -5   0.176  0.000  -0.319  -15.113  -2.987  0.301  0.107  -0.007
