vel_hum: -0.0034, vel_exo: 0.0109, acc_hum: -0.0044, acc_exo: 0.1089, tht_c: 0.0000, tht_l: 0.0065
vel_hum: -0.0034, vel_exo: 0.0109, acc_hum: -0.0044, acc_exo: 0.1089, tht_c: 0.0000, tht_l: 0.0065
vel_hum: -0.0032, vel_exo: 0.0115, acc_hum: 0.0195, acc_exo: 0.0588, tht_c: 0.0000, tht_l: 0.0062
vel_hum: -0.0032, vel_exo: 0.0115, acc_hum: 0.0195, acc_exo: 0.0588, tht_c: 0.0000, tht_l: 0.0062
vel_hum: -0.0028, vel_exo: 0.0112, acc_hum: 0.0430, acc_exo: -0.0323, tht_c: 0.0000, tht_l: 0.0069
vel_hum: -0.0028, vel_exo: 0.0112, acc_hum: 0.0430, acc_exo: -0.0323, tht_c: 0.0000, tht_l: 0.0069
vel_hum: -0.0034, vel_exo: 0.0108, acc_hum: -0.0647, acc_exo: -0.0365, tht_c: 0.0000, tht_l: 0.0054
vel_hum: -0.0034, vel_exo: 0.0108, acc_hum: -0.0647, acc_exo: -0.0365, tht_c: 0.0000, tht_l: 0.0054
vel_hum: -0.0036, vel_exo: 0.0106, acc_hum: -0.0191, acc_exo: -0.0162, tht_c: 0.0000, tht_l: 0.0081
vel_hum: -0.0036, vel_exo: 0.0106, acc_hum: -0.0191, acc_exo: -0.0162, tht_c: 0.0000, tht_l: 0.0081
vel_hum: -0.0037, vel_exo: 0.0111, acc_hum: -0.0032, acc_exo: 0.0428, tht_c: 0.0000, tht_l: 0.0069
vel_hum: -0.0037, vel_exo: 0.0111, acc_hum: -0.0032, acc_exo: 0.0428, tht_c: 0.0000, tht_l: 0.0069
vel_hum: -0.0045, vel_exo: 0.0114, acc_hum: -0.0875, acc_exo: 0.0327, tht_c: 0.0000, tht_l: 0.0096
vel_hum: -0.0045, vel_exo: 0.0114, acc_hum: -0.0875, acc_exo: 0.0327, tht_c: 0.0000, tht_l: 0.0096
vel_hum: -0.0050, vel_exo: 0.0111, acc_hum: -0.0475, acc_exo: -0.0335, tht_c: 0.0000, tht_l: 0.0094
vel_hum: -0.0050, vel_exo: 0.0111, acc_hum: -0.0475, acc_exo: -0.0335, tht_c: 0.0000, tht_l: 0.0094
vel_hum: -0.0042, vel_exo: 0.0110, acc_hum: 0.0776, acc_exo: -0.0086, tht_c: 0.0000, tht_l: 0.0101
vel_hum: -0.0042, vel_exo: 0.0110, acc_hum: 0.0776, acc_exo: -0.0086, tht_c: 0.0000, tht_l: 0.0101
vel_hum: -0.0035, vel_exo: 0.0108, acc_hum: 0.0750, acc_exo: -0.0194, tht_c: 0.0000, tht_l: 0.0063
vel_hum: -0.0035, vel_exo: 0.0108, acc_hum: 0.0750, acc_exo: -0.0194, tht_c: 0.0000, tht_l: 0.0063
vel_hum: -0.0030, vel_exo: 0.0107, acc_hum: 0.0438, acc_exo: -0.0107, tht_c: 0.0000, tht_l: 0.0053
vel_hum: -0.0030, vel_exo: 0.0107, acc_hum: 0.0438, acc_exo: -0.0107, tht_c: 0.0000, tht_l: 0.0053
vel_hum: -0.0032, vel_exo: 0.0111, acc_hum: -0.0151, acc_exo: 0.0421, tht_c: 0.0000, tht_l: 0.0066
vel_hum: -0.0032, vel_exo: 0.0111, acc_hum: -0.0151, acc_exo: 0.0421, tht_c: 0.0000, tht_l: 0.0066
vel_hum: -0.0039, vel_exo: 0.0112, acc_hum: -0.0734, acc_exo: 0.0088, tht_c: 0.0000, tht_l: 0.0091
vel_hum: -0.0039, vel_exo: 0.0112, acc_hum: -0.0734, acc_exo: 0.0088, tht_c: 0.0000, tht_l: 0.0091
vel_hum: -0.0048, vel_exo: 0.0114, acc_hum: -0.0910, acc_exo: 0.0174, tht_c: 0.0000, tht_l: 0.0049
vel_hum: -0.0048, vel_exo: 0.0114, acc_hum: -0.0910, acc_exo: 0.0174, tht_c: 0.0000, tht_l: 0.0049
vel_hum: -0.0046, vel_exo: 0.0115, acc_hum: 0.0219, acc_exo: 0.0095, tht_c: 0.0000, tht_l: 0.0088
vel_hum: -0.0046, vel_exo: 0.0115, acc_hum: 0.0219, acc_exo: 0.0095, tht_c: 0.0000, tht_l: 0.0088
vel_hum: -0.0045, vel_exo: 0.0104, acc_hum: 0.0121, acc_exo: -0.1090, tht_c: 0.0000, tht_l: 0.0131
vel_hum: -0.0045, vel_exo: 0.0104, acc_hum: 0.0121, acc_exo: -0.1090, tht_c: 0.0000, tht_l: 0.0131
vel_hum: -0.0049, vel_exo: 0.0098, acc_hum: -0.0383, acc_exo: -0.0534, tht_c: 0.0000, tht_l: 0.0076
vel_hum: -0.0049, vel_exo: 0.0098, acc_hum: -0.0383, acc_exo: -0.0534, tht_c: 0.0000, tht_l: 0.0076
vel_hum: -0.0048, vel_exo: 0.0111, acc_hum: 0.0079, acc_exo: 0.1247, tht_c: 0.0000, tht_l: 0.0053
vel_hum: -0.0048, vel_exo: 0.0111, acc_hum: 0.0079, acc_exo: 0.1247, tht_c: 0.0000, tht_l: 0.0053
vel_hum: -0.0044, vel_exo: 0.0120, acc_hum: 0.0360, acc_exo: 0.0972, tht_c: 0.0000, tht_l: 0.0072
vel_hum: -0.0044, vel_exo: 0.0120, acc_hum: 0.0360, acc_exo: 0.0972, tht_c: 0.0000, tht_l: 0.0072
vel_hum: -0.0044, vel_exo: 0.0119, acc_hum: 0.0078, acc_exo: -0.0105, tht_c: 0.0000, tht_l: 0.0065
vel_hum: -0.0044, vel_exo: 0.0119, acc_hum: 0.0078, acc_exo: -0.0105, tht_c: 0.0000, tht_l: 0.0065
vel_hum: -0.0040, vel_exo: 0.0116, acc_hum: 0.0404, acc_exo: -0.0317, tht_c: 0.0000, tht_l: 0.0110
vel_hum: -0.0040, vel_exo: 0.0116, acc_hum: 0.0404, acc_exo: -0.0317, tht_c: 0.0000, tht_l: 0.0110
vel_hum: -0.0036, vel_exo: 0.0112, acc_hum: 0.0316, acc_exo: -0.0410, tht_c: 0.0000, tht_l: 0.0077
vel_hum: -0.0036, vel_exo: 0.0112, acc_hum: 0.0316, acc_exo: -0.0410, tht_c: 0.0000, tht_l: 0.0077
vel_hum: -0.0035, vel_exo: 0.0112, acc_hum: 0.0117, acc_exo: 0.0029, tht_c: 0.0000, tht_l: 0.0075
vel_hum: -0.0035, vel_exo: 0.0112, acc_hum: 0.0117, acc_exo: 0.0029, tht_c: 0.0000, tht_l: 0.0075
vel_hum: -0.0042, vel_exo: 0.0114, acc_hum: -0.0694, acc_exo: 0.0125, tht_c: 0.0000, tht_l: 0.0045
vel_hum: -0.0042, vel_exo: 0.0114, acc_hum: -0.0694, acc_exo: 0.0125, tht_c: 0.0000, tht_l: 0.0045
vel_hum: -0.0047, vel_exo: 0.0108, acc_hum: -0.0435, acc_exo: -0.0589, tht_c: 0.0000, tht_l: 0.0077
vel_hum: -0.0047, vel_exo: 0.0108, acc_hum: -0.0435, acc_exo: -0.0589, tht_c: 0.0000, tht_l: 0.0077
vel_hum: -0.0043, vel_exo: 0.0106, acc_hum: 0.0392, acc_exo: -0.0205, tht_c: 0.0000, tht_l: 0.0044
vel_hum: -0.0043, vel_exo: 0.0106, acc_hum: 0.0392, acc_exo: -0.0205, tht_c: 0.0000, tht_l: 0.0044
vel_hum: -0.0037, vel_exo: 0.0106, acc_hum: 0.0517, acc_exo: 0.0011, tht_c: 0.0000, tht_l: 0.0111
vel_hum: -0.0037, vel_exo: 0.0106, acc_hum: 0.0517, acc_exo: 0.0011, tht_c: 0.0000, tht_l: 0.0111
vel_hum: -0.0035, vel_exo: 0.0102, acc_hum: 0.0225, acc_exo: -0.0384, tht_c: 0.0000, tht_l: 0.0064
vel_hum: -0.0035, vel_exo: 0.0102, acc_hum: 0.0225, acc_exo: -0.0384, tht_c: 0.0000, tht_l: 0.0064
vel_hum: -0.0032, vel_exo: 0.0102, acc_hum: 0.0296, acc_exo: -0.0040, tht_c: 0.0000, tht_l: 0.0108
vel_hum: -0.0032, vel_exo: 0.0102, acc_hum: 0.0296, acc_exo: -0.0040, tht_c: 0.0000, tht_l: 0.0108
vel_hum: -0.0036, vel_exo: 0.0107, acc_hum: -0.0414, acc_exo: 0.0513, tht_c: 0.0000, tht_l: 0.0040
vel_hum: -0.0036, vel_exo: 0.0107, acc_hum: -0.0414, acc_exo: 0.0513, tht_c: 0.0000, tht_l: 0.0040
vel_hum: -0.0043, vel_exo: 0.0108, acc_hum: -0.0699, acc_exo: 0.0135, tht_c: 0.0000, tht_l: 0.0070
vel_hum: -0.0043, vel_exo: 0.0108, acc_hum: -0.0699, acc_exo: 0.0135, tht_c: 0.0000, tht_l: 0.0070
vel_hum: -0.0050, vel_exo: 0.0105, acc_hum: -0.0647, acc_exo: -0.0262, tht_c: 0.0000, tht_l: 0.0070
vel_hum: -0.0050, vel_exo: 0.0105, acc_hum: -0.0647, acc_exo: -0.0262, tht_c: 0.0000, tht_l: 0.0070
vel_hum: -0.0045, vel_exo: 0.0108, acc_hum: 0.0528, acc_exo: 0.0231, tht_c: 0.0000, tht_l: 0.0089
vel_hum: -0.0045, vel_exo: 0.0108, acc_hum: 0.0528, acc_exo: 0.0231, tht_c: 0.0000, tht_l: 0.0089
vel_hum: -0.0029, vel_exo: 0.0108, acc_hum: 0.1576, acc_exo: 0.0001, tht_c: 0.0000, tht_l: 0.0048
vel_hum: -0.0029, vel_exo: 0.0108, acc_hum: 0.1576, acc_exo: 0.0001, tht_c: 0.0000, tht_l: 0.0048
vel_hum: -0.0024, vel_exo: 0.0105, acc_hum: 0.0436, acc_exo: -0.0277, tht_c: 0.0000, tht_l: 0.0098
vel_hum: -0.0024, vel_exo: 0.0105, acc_hum: 0.0436, acc_exo: -0.0277, tht_c: 0.0000, tht_l: 0.0098
vel_hum: -0.0036, vel_exo: 0.0105, acc_hum: -0.1137, acc_exo: 0.0036, tht_c: 0.0000, tht_l: 0.0057
vel_hum: -0.0036, vel_exo: 0.0105, acc_hum: -0.1137, acc_exo: 0.0036, tht_c: 0.0000, tht_l: 0.0057
vel_hum: -0.0039, vel_exo: 0.0104, acc_hum: -0.0349, acc_exo: -0.0127, tht_c: 0.0000, tht_l: 0.0042
