CACu_KF
time[s]  vel_hum[rad/s]  vel_adm[rad/s]  vel_motor[rad/s]  SetPt[mA]  I_m[mA]  T_Sea[N.m]
0.471026  0.015  -0.000  -0.000   0.00     -1  -0.000
0.472027  0.015  -0.000  -0.000   0.00     -1  -0.000
0.473027  0.015  -0.000  -0.000   0.00     -1  -0.000
0.474027  0.015  -0.000  -0.000   0.00     -1  -0.000
0.475027  0.015  -0.000  -0.000   0.00     -1  -0.000
0.476027  0.015  -0.000  -0.000   0.00     -1  -0.000
0.477027  0.015  -0.000  -0.000   0.00     -1  -0.000
0.478027  0.015  -0.000  -0.000   0.00     -1  -0.000
0.479027  0.015  -0.000  -0.000   0.00     -1  -0.000
0.480027  0.015  -0.000  -0.000   0.00     -1  -0.000
0.482027  0.015  -0.000  -0.000   0.00     -3  -0.000
0.483027  0.015  -0.000  -0.000   0.00     -3  -0.000
0.484027  0.015  0.000  -0.000   0.00     -3  -0.000
0.485027  0.015  0.000  -0.000   0.00     -3  -0.000
0.486027  0.015  0.000  -0.000   0.00     -2  -0.000
0.487027  0.015  0.000  -0.000   0.00     -2  -0.000
