acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  theta_m[deg]  theta_c[deg]  theta_l[deg]
-0.122  -0.000  -0.005  -0.299  -184917.969  0.000  0.000
-0.080  -0.000  0.002  -0.299  -184917.969  0.000  0.000
-0.047  0.000  -0.005  -0.299  -184917.969  0.000  0.000
-0.005  0.000  0.001  -0.299  -184917.969  0.000  0.000
-0.032  0.000  -0.012  -0.299  -184917.969  0.000  0.000
-0.030  -0.000  -0.011  -0.299  -184917.969  0.000  0.000
-0.045  -0.000  -0.008  -0.299  -184917.969  0.000  0.000
-0.114  -0.000  -0.016  -0.299  -184917.969  0.000  0.000
-0.136  0.000  -0.010  -0.299  -184917.969  0.000  0.000
-0.056  0.000  0.000  -0.299  -184917.969  0.000  0.000
-0.016  0.000  0.002  -0.299  -184917.969  0.000  0.000
0.061  -0.000  0.008  -0.299  -184917.969  0.000  0.000
0.134  -0.000  0.001  -0.299  -184917.969  0.000  0.000
0.118  -0.000  -0.007  -0.299  -184917.969  0.000  0.000
0.141  0.000  -0.007  -0.299  -184917.969  0.000  0.000
0.115  0.000  -0.002  -0.299  -184917.969  0.000  0.000
0.087  0.000  -0.002  -0.299  -184917.969  0.000  0.000
0.126  0.000  0.008  -0.299  -184917.969  0.000  0.000
0.114  -0.000  0.012  -0.299  -184917.969  0.000  0.000
0.024  -0.000  -0.003  -0.299  -184917.969  0.000  0.000
-0.048  0.000  -0.011  -0.299  -184917.969  0.000  0.000
-0.053  0.000  -0.004  -0.299  -184917.969  0.000  0.000
-0.011  0.000  -0.003  -0.299  -184917.969  0.000  0.000
0.002  -0.000  -0.003  -0.299  -184917.969  0.000  0.000
-0.022  -0.000  -0.000  -0.299  -184917.969  0.000  0.000
-0.064  0.000  -0.002  -0.299  -184917.969  0.000  0.000
-0.116  0.000  -0.009  -0.299  -184917.969  0.000  0.000
-0.152  0.000  -0.008  -0.299  -184917.969  0.000  0.000
-0.101  0.000  -0.005  -0.299  -184917.969  0.000  0.000
0.011  -0.000  -0.002  -0.299  -184917.969  0.000  0.000
0.050  0.000  0.001  -0.299  -184917.969  0.000  0.000
0.002  0.000  -0.004  -0.299  -184917.969  0.000  0.000
-0.031  -0.000  -0.009  -0.299  -184917.969  0.000  0.000
-0.038  -0.000  -0.006  -0.299  -184917.969  0.000  0.000
-0.022  -0.000  -0.003  -0.299  -184917.969  0.000  0.000
-0.000  -0.000  -0.005  -0.299  -184917.969  0.000  0.000
0.034  -0.000  -0.002  -0.299  -184917.969  0.000  0.000
0.042  -0.000  0.002  -0.299  -184917.969  0.000  0.000
-0.010  -0.000  -0.008  -0.299  -184917.969  0.000  0.000
-0.020  -0.000  -0.004  -0.299  -184917.969  0.000  0.000
-0.048  -0.000  -0.011  -0.299  -184917.969  0.000  0.000
-0.024  -0.000  -0.007  -0.299  -184917.969  0.000  0.000
0.067  -0.000  0.009  -0.299  -184917.969  0.000  0.000
0.092  -0.000  0.006  -0.299  -184917.969  0.000  0.000
0.074  -0.000  -0.002  -0.299  -184917.969  0.000  0.000
0.048  -0.000  -0.006  -0.299  -184917.969  0.000  0.000
0.009  -0.000  -0.007  -0.299  -184917.969  0.000  0.000
0.026  -0.000  -0.000  -0.299  -184917.969  0.000  0.000
