SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  vel_motor[rad/s]
4.653      3   0.176  0.000  0.053  0.014  -0.026  0.001  -0.004  0.000
2.905      3   0.176  0.000  -0.484  -0.073  -0.013  -0.012  -0.006  0.000
2.079      3   0.176  0.000  0.086  -0.021  -0.057  -0.003  -0.011  0.000
2.940      2   0.176  0.000  -0.029  0.002  0.047  -0.001  0.002  0.000
3.373      2   0.176  0.000  -0.557  -0.039  0.112  0.000  0.008  0.000
1.818      1   0.176  0.000  -1.040  -0.107  0.097  0.000  0.002  0.000
-0.921      2   0.176  0.000  -1.120  -0.134  0.058  -0.006  -0.008  0.000
-2.038      1   0.176  0.000  -0.799  -0.102  0.031  -0.003  -0.005  0.000
-1.512      1   0.176  0.000  -0.556  -0.042  0.087  -0.001  0.001  0.000
-0.942      2   0.176  0.000  -0.509  -0.025  0.104  -0.010  0.002  0.000
-0.687      0   0.176  0.000  -0.373  -0.025  0.058  -0.005  -0.002  0.000
