SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  K_ff  Kp_A  Ki_A  Kp_F  Kd_F  Amp
109003.891     -1   528336.972  159124617.739  9257.563  18.967  1.000  4.560  5.790  1.531  0.020  100000
109004.820      0   530424.128  -218542819.148  9257.563  19.300  1.000  4.560  5.790  1.531  0.020  100000
-189922.313      0   530419.260  -217631157.352  -12714.239  18.685  1.000  4.560  5.790  1.531  0.020  100000
-148879.219      0   530419.260  -217629094.704  -12661.201  19.154  1.000  4.560  5.790  1.531  0.020  100000
-148975.531      2   -728472.249  -217629094.704  -12661.080  18.880  1.000  4.560  5.790  1.531  0.020  100000
-148975.516     -1   -725433.391  158499950.503  -12661.080  18.978  1.000  4.560  5.790  1.531  0.020  100000
148731.563      0   -725426.453  159126107.429  9221.219  18.556  1.000  4.560  5.790  1.531  0.020  100000
109073.938     -1   -725426.453  159124632.063  9257.647  19.839  1.000  4.560  5.790  1.531  0.020  100000
109003.953     -2   528336.916  159124617.739  9257.563  18.989  1.000  4.560  5.790  1.531  0.020  100000
109005.242      1   530424.128  -218542819.148  9257.563  19.476  1.000  4.560  5.790  1.531  0.020  100000
-189922.672      1   530419.260  -217631157.352  -12714.239  18.531  1.000  4.560  5.790  1.531  0.020  100000
-148876.531      1   530419.260  -217629094.704  -12661.201  20.332  1.000  4.560  5.790  1.531  0.020  100000
-148972.234      0   -728472.249  -217629094.704  -12661.080  20.314  1.000  4.560  5.790  1.531  0.020  100000
-148970.625      1   -725433.391  158499950.503  -12661.080  21.115  1.000  4.560  5.790  1.531  0.020  100000
148735.594     -1   -725426.453  159126107.429  9221.219  20.309  1.000  4.560  5.790  1.531  0.020  100000
109073.984      0   -725426.453  159124632.063  9257.647  19.859  1.000  4.560  5.790  1.531  0.020  100000
109008.133     -1   528336.916  159124617.739  9257.563  20.796  1.000  4.560  5.790  1.531  0.020  100000
109009.859     -2   530424.128  -218542819.148  9257.563  21.494  1.000  4.560  5.790  1.531  0.020  100000
-189919.563     -2   530419.260  -217631157.352  -12714.239  19.883  1.000  4.560  5.790  1.531  0.020  100000
-148875.047      1   530419.260  -217629094.704  -12661.201  20.956  1.000  4.560  5.790  1.531  0.020  100000
-148971.828      0   -728472.249  -217629094.704  -12661.080  20.487  1.000  4.560  5.790  1.531  0.020  100000
-148970.328     -2   -725433.391  158499950.503  -12661.080  21.229  1.000  4.560  5.790  1.531  0.020  100000
148736.594     -1   -725426.453  159126107.429  9221.220  20.739  1.000  4.560  5.790  1.531  0.020  100000
109072.281     -1   -725426.453  159124632.063  9257.647  19.119  1.000  4.560  5.790  1.531  0.020  100000
109005.086      1   528336.972  159124617.739  9257.563  19.471  1.000  4.560  5.790  1.531  0.020  100000
109002.727     -2   530424.128  -218542819.148  9257.563  18.382  1.000  4.560  5.790  1.531  0.020  100000
-189918.125     -1   530419.260  -217631157.352  -12714.239  20.520  1.000  4.560  5.790  1.531  0.020  100000
-148878.547     -1   530419.260  -217629094.704  -12661.201  19.444  1.000  4.560  5.790  1.531  0.020  100000
