accBasedPosition [2021-02-13-21-39-20]
time[s]  acc_hum[rad / s2]  vel_hum[rad / s]  vel_exo[rad / s]  T_Sea[N.m]  theta_m[rad]
0.456026  0.037  0.006  -0.006  0.000  0.000
0.457026  0.037  0.006  -0.006  0.000  0.000
0.459026  0.037  0.006  -0.006  0.000  0.000
0.460026  -0.015  0.006  -0.006  0.000  0.000
0.461026  -0.015  0.006  -0.006  0.000  0.000
0.462026  -0.015  0.006  -0.006  0.000  0.000
0.463026  -0.015  0.006  -0.006  0.000  0.000
0.464026  -0.015  0.006  -0.006  0.000  0.000
0.465026  -0.015  0.006  -0.006  0.000  0.000
0.466026  -0.015  0.006  -0.006  0.000  0.000
0.467026  -0.101  0.005  -0.006  0.000  0.000
0.468026  -0.101  0.005  -0.006  0.000  0.000
0.469026  -0.101  0.005  -0.006  0.000  0.000
0.470026  -0.101  0.005  -0.006  0.000  0.000
0.471027  -0.101  0.005  -0.006  0.000  0.000
0.472027  -0.101  0.005  -0.006  0.000  0.000
0.473027  -0.101  0.005  -0.006  0.000  0.000
0.474027  0.011  0.005  -0.007  0.000  0.000
0.475027  0.011  0.005  -0.007  0.000  0.000
0.476027  0.011  0.005  -0.007  0.000  0.000
0.477027  0.011  0.005  -0.007  0.000  0.000
0.478027  0.011  0.005  -0.007  0.000  0.000
0.479027  0.011  0.005  -0.007  0.000  0.000
0.480027  0.011  0.005  -0.007  0.000  0.000
0.481027  0.049  0.006  -0.006  0.000  0.000
0.482027  0.049  0.006  -0.006  0.000  0.000
0.483027  0.049  0.006  -0.006  0.000  0.000
0.484027  0.049  0.006  -0.006  0.000  0.000
0.485027  0.049  0.006  -0.006  0.000  0.000
0.486027  0.049  0.006  -0.006  0.000  0.000
0.487027  0.049  0.006  -0.006  0.000  0.000
0.488027  -0.001  0.006  -0.007  0.000  0.000
0.489028  -0.001  0.006  -0.007  0.000  0.000
0.490028  -0.001  0.006  -0.007  0.000  0.000
0.491028  -0.001  0.006  -0.007  0.000  0.000
0.492028  -0.001  0.006  -0.007  0.000  0.000
0.493028  -0.001  0.006  -0.007  0.000  0.000
0.494028  -0.001  0.006  -0.007  0.000  0.000
0.495028  -0.048  0.005  -0.006  0.000  0.000
0.496028  -0.048  0.005  -0.006  0.000  0.000
0.497028  -0.048  0.005  -0.006  0.000  0.000
0.498028  -0.048  0.005  -0.006  0.000  0.000
0.499028  -0.048  0.005  -0.006  0.000  0.000
0.500028  -0.048  0.005  -0.006  0.000  0.000
0.501028  -0.048  0.005  -0.006  0.000  0.000
0.502028  0.006  0.005  -0.006  0.000  0.000
0.503028  0.006  0.005  -0.006  0.000  0.000
0.504028  0.006  0.005  -0.006  0.000  0.000
0.505028  0.006  0.005  -0.006  0.000  0.000
0.506029  0.006  0.005  -0.006  0.000  0.000
0.507029  0.006  0.005  -0.006  0.000  0.000
0.508029  0.006  0.005  -0.006  0.000  0.000
0.509029  0.051  0.006  -0.006  0.000  0.000
0.510029  0.051  0.006  -0.006  0.000  0.000
0.511029  0.051  0.006  -0.006  0.000  0.000
0.512029  0.051  0.006  -0.006  0.000  0.000
0.513029  0.051  0.006  -0.006  0.000  0.000
0.514029  0.051  0.006  -0.006  0.000  0.000
0.515029  0.051  0.006  -0.006  0.000  0.000
0.516029  -0.052  0.005  -0.006  0.000  0.000
0.517029  -0.052  0.005  -0.006  0.000  0.000
0.518029  -0.052  0.005  -0.006  0.000  0.000
0.519029  -0.052  0.005  -0.006  0.000  0.000
0.520029  -0.052  0.005  -0.006  0.000  0.000
0.521029  -0.052  0.005  -0.006  0.000  0.000
0.522029  -0.052  0.005  -0.006  0.000  0.000
0.523029  0.142  0.006  -0.006  0.000  0.000
