acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]  jerk_hum[rad/s3]  jerk_exo[rad/s3]  vel_motor[rad/s]  exo_Vel[rad/s]  actual_Vel[rad/s]  T_Sea[N.m]  theta_c[rad]  theta_l[rad]
-0.002  -0.010  -0.002  -0.003  -0.001  -0.038  0.524  0.000  0.000  0.000  0.000  0.000
0.001  0.002  -0.001  0.000  0.011  -0.000  0.550  0.000  0.000  0.000  0.000  0.000
-0.002  -0.004  -0.002  -0.001  -0.001  -0.019  0.526  0.000  0.000  0.000  0.000  0.000
-0.001  -0.004  -0.002  -0.001  0.004  -0.017  0.547  0.000  0.000  0.000  0.000  0.000
0.013  0.002  0.003  0.000  0.047  0.002  0.961  0.000  0.000  0.000  0.000  0.000
0.021  -0.004  0.005  -0.001  0.071  -0.016  1.648  0.000  0.000  0.000  0.000  0.000
0.024  -0.009  0.006  -0.003  0.080  -0.032  2.364  0.000  0.000  0.000  0.000  0.000
0.011  0.008  0.003  0.002  0.037  0.023  2.214  0.000  0.000  0.000  0.000  0.000
0.039  -0.004  0.011  -0.001  0.126  -0.016  3.262  0.000  0.000  0.000  0.000  0.000
0.044  -0.002  0.013  -0.001  0.137  -0.011  4.195  0.000  0.000  0.000  0.000  0.000
0.047  0.002  0.015  0.001  0.145  0.005  4.966  0.000  0.000  0.000  0.000  0.000
0.029  -0.003  0.009  -0.001  0.083  -0.013  4.965  0.000  0.000  0.000  0.000  0.000
0.017  -0.003  0.006  -0.001  0.041  -0.012  4.481  0.000  0.000  0.000  0.000  0.000
0.010  -0.003  0.004  -0.001  0.018  -0.011  3.827  0.000  0.000  0.000  0.000  0.000
-0.015  -0.008  -0.004  -0.003  -0.063  -0.026  2.463  0.000  0.000  0.000  0.000  0.000
-0.022  0.003  -0.006  0.001  -0.083  0.009  0.995  0.000  0.000  0.000  0.000  0.000
-0.009  0.009  -0.003  0.003  -0.040  0.027  0.230  0.000  0.000  0.000  0.000  0.000
-0.016  0.003  -0.005  0.001  -0.059  0.007  -0.514  0.000  0.000  0.000  0.000  0.000
0.001  -0.008  0.000  -0.003  -0.004  -0.029  -0.331  0.000  0.000  0.000  0.000  0.000
0.001  -0.002  0.000  -0.001  -0.005  -0.009  -0.287  0.000  0.000  0.000  0.000  0.000
0.018  0.003  0.006  0.001  0.049  0.008  0.286  0.000  0.000  0.000  0.000  0.000
