vel_hum[rad/s]  vel_exo[rad/s]  vel_adm[rad/s]  vel_motor[rad/s]  actual_Vel[rad/s]  T_Sea[N.m]
0.053  -0.000  0.000  0.000  0.000  0.000
0.072  -0.000  0.000  0.000  0.000  0.000
0.085  -0.000  0.000  0.000  0.000  0.000
0.085  -0.000  0.000  0.000  0.000  0.000
0.088  -0.000  0.000  0.000  0.000  0.000
0.077  -0.000  0.000  0.000  0.000  0.000
0.065  -0.000  0.000  0.000  0.000  0.000
0.057  -0.000  0.000  0.000  0.000  0.000
0.037  -0.000  0.000  0.000  0.000  0.000
0.017  -0.000  0.000  0.000  0.000  0.000
-0.005  -0.000  0.000  0.000  0.000  0.000
-0.038  -0.000  0.000  0.000  0.000  0.000
-0.058  -0.000  0.000  0.000  0.000  0.000
-0.087  -0.000  0.000  0.000  0.000  0.000
-0.111  -0.000  0.000  0.000  0.000  0.000
-0.130  -0.000  0.000  0.000  0.000  0.000
-0.129  -0.000  0.000  0.000  0.000  0.000
-0.128  -0.000  0.000  0.000  0.000  0.000
-0.122  -0.000  0.000  0.000  0.000  0.000
-0.121  -0.000  0.000  0.000  0.000  0.000
-0.110  -0.000  0.000  0.000  0.000  0.000
-0.083  -0.000  0.000  0.000  0.000  0.000
-0.065  -0.000  0.000  0.000  0.000  0.000
-0.051  -0.000  0.000  0.000  0.000  0.000
-0.035  -0.000  0.000  0.000  0.000  0.000
-0.020  -0.000  0.000  0.000  0.000  0.000
-0.001  -0.000  0.000  0.000  0.000  0.000
0.017  -0.000  0.000  0.000  0.000  0.000
0.022  -0.000  0.000  0.000  0.000  0.000
0.033  -0.000  0.000  0.000  0.000  0.000
0.040  -0.000  0.000  0.000  0.000  0.000
0.043  -0.000  0.000  0.000  0.000  0.000
0.041  -0.000  0.000  0.000  0.000  0.000
0.040  -0.000  0.000  0.000  0.000  0.000
0.043  -0.000  0.000  0.000  0.000  0.000
0.042  -0.000  0.000  0.000  0.000  0.000
0.032  -0.000  0.000  0.000  0.000  0.000
0.027  -0.000  0.000  0.000  0.000  0.000
0.019  -0.000  0.000  0.000  0.000  0.000
0.013  -0.000  0.000  0.000  0.000  0.000
0.006  -0.000  0.000  0.000  0.000  0.000
-0.002  -0.000  0.000  0.000  0.000  0.000
-0.007  -0.000  0.000  0.000  0.000  0.000
-0.014  -0.000  0.000  0.000  0.000  0.000
-0.024  -0.000  0.000  0.000  0.000  0.000
-0.031  -0.000  0.000  0.000  0.000  0.000
-0.032  -0.000  0.000  0.000  0.000  0.000
-0.040  -0.000  0.000  0.000  0.000  0.000
-0.043  -0.000  0.000  0.000  0.000  0.000
-0.043  -0.000  0.000  0.000  0.000  0.000
-0.047  -0.000  0.000  0.000  0.000  0.000
-0.054  -0.000  0.000  0.000  0.000  0.000
-0.058  -0.000  0.000  0.000  0.000  0.000
-0.062  -0.000  0.000  0.000  0.000  0.000
-0.081  -0.000  0.000  0.000  0.000  0.000
-0.088  -0.000  0.000  0.000  0.000  0.000
-0.100  -0.000  0.000  0.000  0.000  0.000
-0.114  -0.000  0.000  0.000  0.000  0.000
-0.127  -0.000  0.000  0.000  0.000  0.000
-0.139  -0.000  0.000  0.000  0.000  0.000
-0.143  -0.000  0.000  0.000  0.000  0.000
-0.157  -0.000  0.000  0.000  0.000  0.000
-0.159  -0.000  0.000  0.000  0.000  0.000
-0.153  -0.000  0.000  0.000  0.000  0.000
-0.148  -0.000  0.000  0.000  0.000  0.000
-0.142  -0.000  0.000  0.000  0.000  0.000
-0.139  -0.000  0.000  0.000  0.000  0.000
-0.128  -0.000  0.000  0.000  0.000  0.000
-0.125  -0.000  0.000  0.000  0.000  0.000
-0.130  -0.000  0.000  0.000  0.000  0.000
-0.126  -0.000  0.000  0.000  0.000  0.000
-0.120  -0.000  0.000  0.000  0.000  0.000
-0.117  -0.000  0.000  0.000  0.000  0.000
-0.110  -0.000  0.000  0.000  0.000  0.000
-0.101  -0.000  0.000  0.000  0.000  0.000
-0.093  -0.000  0.000  0.000  0.000  0.000
-0.083  -0.000  0.000  0.000  0.000  0.000
-0.076  -0.000  0.000  0.000  0.000  0.000
-0.067  -0.000  0.000  0.000  0.000  0.000
-0.058  -0.000  0.000  0.000  0.000  0.000
-0.053  -0.000  0.000  0.000  0.000  0.000
-0.042  -0.000  0.000  0.000  0.000  0.000
-0.038  -0.000  0.000  0.000  0.000  0.000
-0.028  -0.000  0.000  0.000  0.000  0.000
-0.025  -0.000  0.000  0.000  0.000  0.000
-0.025  -0.000  0.000  0.000  0.000  0.000
-0.022  -0.000  0.000  0.000  0.000  0.000
-0.020  -0.000  0.000  0.000  0.000  0.000
-0.017  -0.000  0.000  0.000  0.000  0.000
-0.016  -0.000  0.000  0.000  0.000  0.000
-0.012  -0.000  0.000  0.000  0.000  0.000
-0.009  -0.000  0.000  0.000  0.000  0.000
-0.008  -0.000  0.000  0.000  0.000  0.000
-0.004  -0.000  0.000  0.000  0.000  0.000
0.002  -0.000  0.000  0.000  0.000  0.000
0.001  -0.000  0.000  0.000  0.000  0.000
0.008  -0.000  0.000  0.000  0.000  0.000
0.010  -0.000  0.000  0.000  0.000  0.000
0.017  -0.000  0.000  0.000  0.000  0.000
0.021  -0.000  0.000  0.000  0.000  0.000
0.023  -0.000  0.000  0.000  0.000  0.000
0.031  -0.000  0.000  0.000  0.000  0.000
0.039  -0.000  0.000  0.000  0.000  0.000
0.044  -0.000  0.000  0.000  0.000  0.000
0.054  -0.000  0.000  0.000  0.000  0.000
0.063  -0.000  0.000  0.000  0.000  0.000
0.070  -0.000  0.000  0.000  0.000  0.000
0.080  -0.000  0.000  0.000  0.000  0.000
0.085  -0.000  0.000  0.000  0.000  0.000
0.098  -0.000  0.000  0.000  0.000  0.000
0.096  -0.000  0.000  0.000  0.000  0.000
0.100  -0.000  0.000  0.000  0.000  0.000
0.103  -0.000  0.000  0.000  0.000  0.000
0.100  -0.000  0.000  0.000  0.000  0.000
0.097  -0.000  0.000  0.000  0.000  0.000
0.092  -0.000  0.000  0.000  0.000  0.000
0.088  -0.000  0.000  0.000  0.000  0.000
0.088  -0.000  0.000  0.000  0.000  0.000
0.083  -0.000  0.000  0.000  0.000  0.000
0.082  -0.000  0.000  0.000  0.000  0.000
0.077  -0.000  0.000  0.000  0.000  0.000
0.075  -0.000  0.000  0.000  0.000  0.000
0.070  -0.000  0.000  0.000  0.000  0.000
0.065  -0.000  0.000  0.000  0.000  0.000
0.060  -0.000  0.000  0.000  0.000  0.000
0.057  -0.000  0.000  0.000  0.000  0.000
0.055  -0.000  0.000  0.000  0.000  0.000
0.051  -0.000  0.000  0.000  0.000  0.000
0.052  -0.000  0.000  0.000  0.000  0.000
0.050  -0.000  0.000  0.000  0.000  0.000
0.050  -0.000  0.000  0.000  0.000  0.000
0.044  -0.000  0.000  0.000  0.000  0.000
0.042  -0.000  0.000  0.000  0.000  0.000
0.039  -0.000  0.000  0.000  0.000  0.000
0.043  -0.000  0.000  0.000  0.000  0.000
0.042  -0.000  0.000  0.000  0.000  0.000
0.038  -0.000  0.000  0.000  0.000  0.000
0.040  -0.000  0.000  0.000  0.000  0.000
0.046  -0.000  0.000  0.000  0.000  0.000
0.040  -0.000  0.000  0.000  0.000  0.000
0.043  -0.000  0.000  0.000  0.000  0.000
0.036  -0.000  0.000  0.000  0.000  0.000
0.037  -0.000  0.000  0.000  0.000  0.000
0.028  -0.000  0.000  0.000  0.000  0.000
0.021  -0.000  0.000  0.000  0.000  0.000
0.015  -0.000  0.000  0.000  0.000  0.000
0.010  -0.000  0.000  0.000  0.000  0.000
-0.001  -0.000  0.000  0.000  0.000  0.000
-0.003  -0.000  0.000  0.000  0.000  0.000
-0.004  -0.000  0.000  0.000  0.000  0.000
-0.015  -0.000  0.000  0.000  0.000  0.000
-0.014  -0.000  0.000  0.000  0.000  0.000
-0.022  -0.000  0.000  0.000  0.000  0.000
-0.028  -0.000  0.000  0.000  0.000  0.000
-0.028  -0.000  0.000  0.000  0.000  0.000
-0.025  -0.000  0.000  0.000  0.000  0.000
-0.030  -0.000  0.000  0.000  0.000  0.000
-0.031  -0.000  0.000  0.000  0.000  0.000
-0.035  -0.000  0.000  0.000  0.000  0.000
-0.035  -0.000  0.000  0.000  0.000  0.000
-0.037  -0.000  0.000  0.000  0.000  0.000
-0.038  -0.000  0.000  0.000  0.000  0.000
-0.038  -0.000  0.000  0.000  0.000  0.000
-0.040  -0.000  0.000  0.000  0.000  0.000
-0.036  -0.000  0.000  0.000  0.000  0.000
-0.037  -0.000  0.000  0.000  0.000  0.000
-0.036  -0.000  0.000  0.000  0.000  0.000
-0.035  -0.000  0.000  0.000  0.000  0.000
-0.033  -0.000  0.000  0.000  0.000  0.000
-0.027  -0.000  0.000  0.000  0.000  0.000
