SetPt[mA]  I_m[mA] theta_l[deg]  theta_c[deg]  T_sea[N.m]  T_acc[N.m]  acc_hum[rad/s2]  acc_exo[rad/s2]  vel_hum[rad/s]  vel_exo[rad/s]
1.149     -1   0.000  0.000  0.000  1.929  -0.139  -0.558  0.004  -0.005
2.348     -1   0.000  0.000  0.000  0.556  0.661  0.590  0.007  -0.003
2.210     -1   0.000  0.000  0.000  0.478  -0.196  -0.298  0.008  -0.003
-2.775     -2   0.000  0.000  0.000  -1.779  -0.459  -0.083  0.006  -0.004
9.252      0   0.000  0.000  0.000  5.829  0.661  -0.561  0.007  -0.007
-6.573     -1   0.000  0.000  0.000  -6.347  -0.607  0.764  0.006  -0.005
5.744     -1   0.000  0.000  0.000  5.508  0.677  -0.474  0.008  -0.006
-5.313     -1   0.000  0.000  0.000  -4.789  -0.103  0.956  0.009  -0.002
6.987      0   0.000  0.000  0.000  5.357  0.681  -0.437  0.012  -0.002
-1.488      0   0.000  0.000  0.000  -2.834  -0.909  -0.323  0.010  -0.003
-0.544      0   0.000  0.000  0.000  0.571  0.092  -0.011  0.009  -0.005
-1.626     -2   0.000  0.000  0.000  0.041  -0.361  -0.374  0.006  -0.007
-4.462     -3   0.000  0.000  0.000  -1.090  -0.067  0.184  0.005  -0.007
-11.753      0   0.000  0.000  0.000  -3.780  -0.144  0.687  0.004  -0.004
-14.587     -2   0.000  0.000  0.000  -2.689  0.026  0.621  0.004  0.001
-7.120      0   0.000  0.000  0.000  2.171  0.016  -0.456  0.004  0.001
-8.174     -1   0.000  0.000  0.000  -1.052  -0.375  -0.163  0.002  0.000
-1.183     -1   0.000  0.000  0.000  2.743  0.189  -0.396  0.002  -0.002
2.786     -2   0.000  0.000  0.000  1.772  0.543  0.195  0.004  -0.003
6.504     -3   0.000  0.000  0.000  2.537  -0.048  -0.593  0.006  -0.006
-3.950     -3   0.000  0.000  0.000  -4.090  -0.354  0.534  0.005  -0.005
3.219     -2   0.000  0.000  0.000  3.327  0.374  -0.320  0.005  -0.005
1.336     -2   0.000  0.000  0.000  -0.556  0.296  0.449  0.007  -0.004
3.564     -2   0.000  0.000  0.000  1.793  -0.317  -0.712  0.007  -0.006
-11.261     -2   0.000  0.000  0.000  -6.557  -0.551  0.865  0.004  -0.003
-1.759      0   0.000  0.000  0.000  3.159  0.904  0.272  0.006  -0.000
5.016      1   0.000  0.000  0.000  3.028  0.359  -0.272  0.010  -0.000
9.073      0   0.000  0.000  0.000  2.693  0.047  -0.522  0.012  -0.003
3.236      0   0.000  0.000  0.000  -1.713  -0.148  0.239  0.012  -0.003
-2.192      0   0.000  0.000  0.000  -2.194  -0.152  0.337  0.011  -0.002
-14.697      1   0.000  0.000  0.000  -6.187  -0.762  0.557  0.007  0.002
-3.848      0   0.000  0.000  0.000  3.856  0.133  -0.699  0.005  0.000
-1.617      0   0.000  0.000  0.000  0.567  0.292  0.191  0.006  -0.000
-16.370      0   0.000  0.000  0.000  -6.902  -1.278  0.163  0.001  0.001
7.266     -4   0.000  0.000  0.000  9.303  1.661  -0.277  0.005  -0.000
0.866     -2   0.000  0.000  0.000  -1.974  -0.686  -0.283  0.006  -0.002
1.580     -2   0.000  0.000  0.000  0.858  -0.194  -0.382  0.004  -0.005
-9.474     -2   0.000  0.000  0.000  -5.467  0.145  1.358  0.004  -0.000
-0.657     -3   0.000  0.000  0.000  3.254  0.235  -0.460  0.005  0.001
-2.287      0   0.000  0.000  0.000  -0.845  -0.216  -0.038  0.005  0.001
7.253     -3   0.000  0.000  0.000  4.342  0.501  -0.412  0.007  -0.001
4.361     -2   0.000  0.000  0.000  -0.516  -0.109  0.011  0.008  -0.002
-7.099     -2   0.000  0.000  0.000  -5.220  -0.295  0.840  0.007  0.001
3.842     -3   0.000  0.000  0.000  4.433  0.467  -0.470  0.008  0.001
-4.568     -2   0.000  0.000  0.000  -3.487  -0.728  0.001  0.005  0.001
10.812     -2   0.000  0.000  0.000  6.759  1.036  -0.374  0.008  -0.001
-2.054     -2   0.000  0.000  0.000  -4.811  -0.834  0.184  0.007  -0.002
-0.652     -3   0.000  0.000  0.000  0.747  -0.136  -0.297  0.005  -0.003
-2.372     -1   0.000  0.000  0.000  -1.056  0.323  0.581  0.005  -0.001
-5.133     -1   0.000  0.000  0.000  -1.254  -0.572  -0.324  0.003  -0.001
4.692     -1   0.000  0.000  0.000  4.095  0.761  -0.084  0.006  -0.002
3.595     -3   0.000  0.000  0.000  -0.328  0.413  0.520  0.009  0.000
8.771     -3   0.000  0.000  0.000  2.805  0.258  -0.328  0.012  0.000
1.066     -3   0.000  0.000  0.000  -2.808  -0.399  0.207  0.011  0.001
8.673     -3   0.000  0.000  0.000  4.057  0.063  -0.806  0.011  -0.003
-2.597     -3   0.000  0.000  0.000  -4.243  -0.590  0.321  0.008  -0.003
0.928     -3   0.000  0.000  0.000  1.206  0.675  0.462  0.009  -0.001
1.736     -3   0.000  0.000  0.000  0.819  -0.347  -0.532  0.009  -0.002
8.412     -3   0.000  0.000  0.000  3.393  0.617  -0.073  0.011  -0.003
0.570     -3   0.000  0.000  0.000  -2.419  -0.673  -0.162  0.010  -0.005
14.380     -3   0.000  0.000  0.000  7.029  0.859  -0.608  0.012  -0.008
2.746     -4   0.000  0.000  0.000  -3.807  -0.230  0.618  0.013  -0.007
-6.322     -3   0.000  0.000  0.000  -3.516  -0.704  0.047  0.010  -0.006
-9.549     -3   0.000  0.000  0.000  -1.935  -0.145  0.285  0.007  -0.004
-15.291     -3   0.000  0.000  0.000  -3.742  -0.192  0.624  0.005  -0.000
-19.221     -2   0.000  0.000  0.000  -3.453  -0.483  0.246  0.003  0.003
-1.336     -3   0.000  0.000  0.000  6.680  0.573  -0.855  0.004  0.001
-0.230     -3   0.000  0.000  0.000  0.462  0.094  0.007  0.005  -0.001
4.502     -1   0.000  0.000  0.000  2.130  0.586  0.166  0.009  -0.002
4.605     -2   0.000  0.000  0.000  0.707  -0.092  -0.237  0.010  -0.002
5.947     -2   0.000  0.000  0.000  1.130  0.296  0.083  0.012  -0.002
-4.986     -1   0.000  0.000  0.000  -4.107  -1.040  -0.184  0.008  -0.003
-1.770     -2   0.000  0.000  0.000  1.227  0.228  -0.016  0.006  -0.004
5.775     -1   0.000  0.000  0.000  3.924  0.214  -0.618  0.007  -0.007
0.481     -1   0.000  0.000  0.000  -1.649  0.012  0.392  0.007  -0.007
-0.518     -2   0.000  0.000  0.000  -0.190  0.140  0.207  0.008  -0.005
